TimeGenerated,Computer,ComputerIP,ComputerEnvironment,OSType,OSName,OSMajorVersion,Category,SCAgentChannel,Version,RemoteIPCountry,RemoteIPLatitude,RemoteIPLongitude,ResourceId,ResourceGroup,SubscriptionId,VMUUID,SourceComputerId
2026-06-10T08:00:11Z,DC01,52.170.12.45,Azure,Windows,Windows Server 2022 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/DC01,rg-finance-prod,11112222-3333-4444-5555-666677778888,c0ffee01-aaaa-bbbb-cccc-000000000001,a1a1a1a1-0000-4000-8000-00000000dc01
2026-06-10T08:00:33Z,FIN-WS-07,52.170.12.45,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,rg-finance-prod,11112222-3333-4444-5555-666677778888,d1d1d1d1-aaaa-bbbb-cccc-000000000007,b7b7b7b7-0000-4000-8000-0000000fin07
2026-06-10T08:01:02Z,HR-WS-03,20.98.111.30,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.27.0.0,United Kingdom,51.5074,-0.1278,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/HR-WS-03,rg-corp-it,11112222-3333-4444-5555-666677778888,e3e3e3e3-aaaa-bbbb-cccc-000000000003,c3c3c3c3-0000-4000-8000-0000000hr003
2026-06-10T08:01:48Z,WEB-APP-01,52.170.12.45,Azure,Linux,Ubuntu 22.04.4 LTS,22,Direct Agent,Direct,1.31.1,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,rg-finance-prod,11112222-3333-4444-5555-666677778888,a9a9a9a9-aaaa-bbbb-cccc-000000000091,d0d0d0d0-0000-4000-8000-000000web01
2026-06-10T08:02:20Z,APP-SQL-02,52.170.12.45,Azure,Windows,Windows Server 2019 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/APP-SQL-02,rg-finance-prod,11112222-3333-4444-5555-666677778888,f2f2f2f2-aaaa-bbbb-cccc-000000000002,e2e2e2e2-0000-4000-8000-00000sql02
2026-06-10T08:15:13Z,DC01,52.170.12.45,Azure,Windows,Windows Server 2022 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/DC01,rg-finance-prod,11112222-3333-4444-5555-666677778888,c0ffee01-aaaa-bbbb-cccc-000000000001,a1a1a1a1-0000-4000-8000-00000000dc01
2026-06-10T08:15:35Z,FIN-WS-07,52.170.12.45,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,rg-finance-prod,11112222-3333-4444-5555-666677778888,d1d1d1d1-aaaa-bbbb-cccc-000000000007,b7b7b7b7-0000-4000-8000-0000000fin07
2026-06-10T08:16:04Z,HR-WS-03,20.98.111.30,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.27.0.0,United Kingdom,51.5074,-0.1278,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/HR-WS-03,rg-corp-it,11112222-3333-4444-5555-666677778888,e3e3e3e3-aaaa-bbbb-cccc-000000000003,c3c3c3c3-0000-4000-8000-0000000hr003
2026-06-10T08:16:50Z,WEB-APP-01,52.170.12.45,Azure,Linux,Ubuntu 22.04.4 LTS,22,Direct Agent,Direct,1.31.1,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,rg-finance-prod,11112222-3333-4444-5555-666677778888,a9a9a9a9-aaaa-bbbb-cccc-000000000091,d0d0d0d0-0000-4000-8000-000000web01
2026-06-10T08:17:22Z,APP-SQL-02,52.170.12.45,Azure,Windows,Windows Server 2019 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/APP-SQL-02,rg-finance-prod,11112222-3333-4444-5555-666677778888,f2f2f2f2-aaaa-bbbb-cccc-000000000002,e2e2e2e2-0000-4000-8000-00000sql02
2026-06-10T08:30:14Z,DC01,52.170.12.45,Azure,Windows,Windows Server 2022 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/DC01,rg-finance-prod,11112222-3333-4444-5555-666677778888,c0ffee01-aaaa-bbbb-cccc-000000000001,a1a1a1a1-0000-4000-8000-00000000dc01
2026-06-10T08:30:36Z,FIN-WS-07,52.170.12.45,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,rg-finance-prod,11112222-3333-4444-5555-666677778888,d1d1d1d1-aaaa-bbbb-cccc-000000000007,b7b7b7b7-0000-4000-8000-0000000fin07
2026-06-10T08:31:05Z,HR-WS-03,20.98.111.30,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.27.0.0,United Kingdom,51.5074,-0.1278,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/HR-WS-03,rg-corp-it,11112222-3333-4444-5555-666677778888,e3e3e3e3-aaaa-bbbb-cccc-000000000003,c3c3c3c3-0000-4000-8000-0000000hr003
2026-06-10T08:31:51Z,WEB-APP-01,52.170.12.45,Azure,Linux,Ubuntu 22.04.4 LTS,22,Direct Agent,Direct,1.31.1,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,rg-finance-prod,11112222-3333-4444-5555-666677778888,a9a9a9a9-aaaa-bbbb-cccc-000000000091,d0d0d0d0-0000-4000-8000-000000web01
2026-06-10T08:32:23Z,APP-SQL-02,52.170.12.45,Azure,Windows,Windows Server 2019 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/APP-SQL-02,rg-finance-prod,11112222-3333-4444-5555-666677778888,f2f2f2f2-aaaa-bbbb-cccc-000000000002,e2e2e2e2-0000-4000-8000-00000sql02
2026-06-10T08:45:15Z,DC01,52.170.12.45,Azure,Windows,Windows Server 2022 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/DC01,rg-finance-prod,11112222-3333-4444-5555-666677778888,c0ffee01-aaaa-bbbb-cccc-000000000001,a1a1a1a1-0000-4000-8000-00000000dc01
2026-06-10T08:45:37Z,FIN-WS-07,52.170.12.45,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,rg-finance-prod,11112222-3333-4444-5555-666677778888,d1d1d1d1-aaaa-bbbb-cccc-000000000007,b7b7b7b7-0000-4000-8000-0000000fin07
2026-06-10T08:46:06Z,HR-WS-03,20.98.111.30,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.27.0.0,United Kingdom,51.5074,-0.1278,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/HR-WS-03,rg-corp-it,11112222-3333-4444-5555-666677778888,e3e3e3e3-aaaa-bbbb-cccc-000000000003,c3c3c3c3-0000-4000-8000-0000000hr003
2026-06-10T08:46:52Z,WEB-APP-01,52.170.12.45,Azure,Linux,Ubuntu 22.04.4 LTS,22,Direct Agent,Direct,1.31.1,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,rg-finance-prod,11112222-3333-4444-5555-666677778888,a9a9a9a9-aaaa-bbbb-cccc-000000000091,d0d0d0d0-0000-4000-8000-000000web01
2026-06-10T08:47:24Z,APP-SQL-02,52.170.12.45,Azure,Windows,Windows Server 2019 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/APP-SQL-02,rg-finance-prod,11112222-3333-4444-5555-666677778888,f2f2f2f2-aaaa-bbbb-cccc-000000000002,e2e2e2e2-0000-4000-8000-00000sql02
2026-06-10T09:00:16Z,DC01,52.170.12.45,Azure,Windows,Windows Server 2022 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/DC01,rg-finance-prod,11112222-3333-4444-5555-666677778888,c0ffee01-aaaa-bbbb-cccc-000000000001,a1a1a1a1-0000-4000-8000-00000000dc01
2026-06-10T09:00:38Z,FIN-WS-07,52.170.12.45,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/FIN-WS-07,rg-finance-prod,11112222-3333-4444-5555-666677778888,d1d1d1d1-aaaa-bbbb-cccc-000000000007,b7b7b7b7-0000-4000-8000-0000000fin07
2026-06-10T09:01:07Z,HR-WS-03,20.98.111.30,Azure,Windows,Windows 11 Enterprise,10,Direct Agent,Direct,1.27.0.0,United Kingdom,51.5074,-0.1278,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-corp-it/providers/Microsoft.Compute/virtualMachines/HR-WS-03,rg-corp-it,11112222-3333-4444-5555-666677778888,e3e3e3e3-aaaa-bbbb-cccc-000000000003,c3c3c3c3-0000-4000-8000-0000000hr003
2026-06-10T09:01:53Z,WEB-APP-01,52.170.12.45,Azure,Linux,Ubuntu 22.04.4 LTS,22,Direct Agent,Direct,1.31.1,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/WEB-APP-01,rg-finance-prod,11112222-3333-4444-5555-666677778888,a9a9a9a9-aaaa-bbbb-cccc-000000000091,d0d0d0d0-0000-4000-8000-000000web01
2026-06-10T09:02:25Z,APP-SQL-02,52.170.12.45,Azure,Windows,Windows Server 2019 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/APP-SQL-02,rg-finance-prod,11112222-3333-4444-5555-666677778888,f2f2f2f2-aaaa-bbbb-cccc-000000000002,e2e2e2e2-0000-4000-8000-00000sql02
2026-06-10T09:15:17Z,DC01,52.170.12.45,Azure,Windows,Windows Server 2022 Datacenter,10,Direct Agent,Direct,1.28.2.0,United States,38.7095,-78.1539,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.Compute/virtualMachines/DC01,rg-finance-prod,11112222-3333-4444-5555-666677778888,c0ffee01-aaaa-bbbb-cccc-000000000001,a1a1a1a1-0000-4000-8000-00000000dc01
