TimeGenerated,StartTime,EndTime,DataType,Solution,Quantity,QuantityUnit,IsBillable,Computer,ResourceUri,MeterId,SourceSystem
2026-06-10T05:00:00Z,2026-06-10T05:00:00Z,2026-06-10T06:00:00Z,SecurityEvent,Security,512.4,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T06:00:00Z,2026-06-10T06:00:00Z,2026-06-10T07:00:00Z,SecurityEvent,Security,548.9,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,SecurityEvent,Security,531.2,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,SecurityEvent,Security,1342.7,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,SecurityEvent,Security,3187.5,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,SecurityEvent,Security,2964.1,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T11:00:00Z,2026-06-10T11:00:00Z,2026-06-10T12:00:00Z,SecurityEvent,Security,1605.8,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T12:00:00Z,2026-06-10T12:00:00Z,2026-06-10T13:00:00Z,SecurityEvent,Security,602.3,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,9c8e7d6f-1111-2222-3333-aaaaaaaaaaaa,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,SigninLogs,Security,88.6,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,3b2a1c0d-4444-5555-6666-bbbbbbbbbbbb,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,SigninLogs,Security,214.3,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,3b2a1c0d-4444-5555-6666-bbbbbbbbbbbb,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,SigninLogs,Security,279.1,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,3b2a1c0d-4444-5555-6666-bbbbbbbbbbbb,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,SigninLogs,Security,118.7,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,3b2a1c0d-4444-5555-6666-bbbbbbbbbbbb,Azure
