TimeGenerated,ResourceProvider,ResourceType,Category,OperationName,ResultType,ResultSignature,CallerIPAddress,identity_claim_appid_g,identity_claim_ipaddr_s,requestUri_s,id_s,httpStatusCode_d,clientInfo_s,CorrelationId,Resource,ResourceGroup,SubscriptionId,ruleName_s,direction_s,conditions_sourceIP_s,conditions_destinationPortRange_s
2026-06-10T07:32:14Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,VaultGet,Success,OK,52.170.12.45,2ff8c5e1-7a3b-4d22-9f10-0c1a2b3c4d5e,52.170.12.45,https://kv-contoso-prod.vault.azure.net/,7a1f0c2e-1111-4aaa-bbbb-0001,200,AzureResourceManager/2.0,9b2e6c10-0a11-4f00-9c01-aa0000000001,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T08:05:41Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretGet,Success,OK,52.170.12.45,9c0d3f7a-44b2-4e55-8a1c-7d6e5f4a3b2c,52.170.12.45,https://kv-contoso-prod.vault.azure.net/secrets/sql-conn-string/,7a1f0c2e-1111-4aaa-bbbb-0002,200,AzureBackup/3.1,9b2e6c10-0a11-4f00-9c01-aa0000000002,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T09:48:09Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretGet,Success,OK,52.170.12.45,4b7e2a9d-3c1f-4880-9b2e-6a5d4c3b2a10,52.170.12.45,https://kv-contoso-prod.vault.azure.net/secrets/storage-key-fin/,7a1f0c2e-1111-4aaa-bbbb-0003,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) PowerShell/7.4.1,9b2e6c10-0a11-4f00-9c01-aa0000000003,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:18:55Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,VaultGet,Success,OK,20.98.111.30,2ff8c5e1-7a3b-4d22-9f10-0c1a2b3c4d5e,20.98.111.30,https://kv-contoso-prod.vault.azure.net/,7a1f0c2e-1111-4aaa-bbbb-0004,200,AzurePortal/1.0,9b2e6c10-0a11-4f00-9c01-aa0000000004,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:36:02Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretGet,Failed,Forbidden,185.220.101.2,7d4c9e2b-5a18-4f3c-9d10-2b3a4c5d6e7f,185.220.101.2,https://kv-contoso-prod.vault.azure.net/secrets/storage-key-fin/,7a1f0c2e-2222-4ccc-dddd-0001,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64) PowerShell/7.4.1,9b2e6c10-0a11-4f00-9c01-bb0000000001,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:37:11Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretList,Failed,Forbidden,185.220.101.2,7d4c9e2b-5a18-4f3c-9d10-2b3a4c5d6e7f,185.220.101.2,https://kv-contoso-prod.vault.azure.net/secrets,7a1f0c2e-2222-4ccc-dddd-0002,403,Mozilla/5.0 (Windows NT 10.0; Win64; x64) PowerShell/7.4.1,9b2e6c10-0a11-4f00-9c01-bb0000000002,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:39:44Z,MICROSOFT.AUTHORIZATION,ROLEASSIGNMENTS,AuditEvent,RoleAssignmentWrite,Success,Created,185.220.101.2,7d4c9e2b-5a18-4f3c-9d10-2b3a4c5d6e7f,185.220.101.2,https://management.azure.com/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/RG-FINANCE-PROD/providers/Microsoft.KeyVault/vaults/kv-contoso-prod/providers/Microsoft.Authorization/roleAssignments/,7a1f0c2e-3333-4eee-ffff-0001,201,ARM/2.0,9b2e6c10-0a11-4f00-9c01-bb0000000003,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:40:07Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretList,Success,OK,185.220.101.2,7d4c9e2b-5a18-4f3c-9d10-2b3a4c5d6e7f,185.220.101.2,https://kv-contoso-prod.vault.azure.net/secrets,7a1f0c2e-2222-4ccc-dddd-0003,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) PowerShell/7.4.1,9b2e6c10-0a11-4f00-9c01-bb0000000004,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:40:19Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretGet,Success,OK,185.220.101.2,7d4c9e2b-5a18-4f3c-9d10-2b3a4c5d6e7f,185.220.101.2,https://kv-contoso-prod.vault.azure.net/secrets/storage-key-fin/,7a1f0c2e-2222-4ccc-dddd-0004,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) PowerShell/7.4.1,9b2e6c10-0a11-4f00-9c01-bb0000000005,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
2026-06-10T10:40:33Z,MICROSOFT.KEYVAULT,VAULTS,AuditEvent,SecretGet,Success,OK,185.220.101.2,7d4c9e2b-5a18-4f3c-9d10-2b3a4c5d6e7f,185.220.101.2,https://kv-contoso-prod.vault.azure.net/secrets/sql-conn-string/,7a1f0c2e-2222-4ccc-dddd-0005,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) PowerShell/7.4.1,9b2e6c10-0a11-4f00-9c01-bb0000000006,KV-CONTOSO-PROD,RG-FINANCE-PROD,11112222-3333-4444-5555-666677778888,,,,
